START_X,START_Y,END_X,END_Y,DISTANCE_MOVED,SLOPE,STANDARD DEVIATIONS AWAY FROM MEAN SLOPE
352.0,328.0,339.0,276.0,53.600373133029585,4.0,0.008244413600048336
349.0,117.0,337.0,68.0,50.44799302251776,4.083333333333333,0.015853208435027643
133.0,185.0,145.0,234.0,50.44799302251776,4.083333333333333,0.015853208435027643
352.0,330.0,365.0,381.0,52.630789467763066,3.923076923076923,0.030488372401657058
1697.0,266.0,1684.0,211.0,56.515484603779164,4.230769230769231,0.05848746280477771
395.0,322.0,407.0,373.0,52.392747589718944,4.25,0.06404845250517985
1297.0,236.0,1285.0,184.0,53.36665625650534,4.333333333333333,0.08814607454025583
998.0,144.0,1010.0,196.0,53.36665625650534,4.333333333333333,0.08814607454025583
1025.0,148.0,1037.0,200.0,53.36665625650534,4.333333333333333,0.08814607454025583
425.0,112.0,439.0,164.0,53.85164807134504,3.7142857142857144,0.09086483200602337
1348.0,535.0,1360.0,588.0,54.3415126767741,4.416666666666667,0.11224369657533206
444.0,569.0,455.0,619.0,51.19570294468082,4.545454545454546,0.14948547608408602
198.0,292.0,212.0,341.0,50.96076922496363,3.5,0.15283014581050472
1972.0,539.0,1984.0,594.0,56.293871780150276,4.583333333333333,0.16043894064548403
1870.0,247.0,1858.0,192.0,56.293871780150276,4.583333333333333,0.16043894064548403
961.0,545.0,950.0,494.0,52.172789842982326,4.636363636363637,0.1757737910314417
556.0,723.0,567.0,774.0,52.172789842982326,4.636363636363637,0.1757737910314417
1594.0,639.0,1582.0,583.0,57.271284253105414,4.666666666666667,0.18453656268056026
1323.0,510.0,1312.0,458.0,53.150729063673246,4.7272727272727275,0.20206210597879737
1603.0,134.0,1614.0,187.0,54.12947441089743,4.818181818181818,0.22835042092615304
1341.0,695.0,1330.0,642.0,54.12947441089743,4.818181818181818,0.22835042092615304
677.0,867.0,667.0,818.0,50.00999900019995,4.9,0.25200990437877324
1430.0,533.0,1419.0,479.0,55.10898293381942,4.909090909090909,0.2546387358735087
1480.0,376.0,1491.0,430.0,55.10898293381942,4.909090909090909,0.2546387358735087
1699.0,565.0,1710.0,620.0,56.089214649520635,5.0,0.2809270508208644
2119.0,370.0,2130.0,425.0,56.089214649520635,5.0,0.2809270508208644
96.0,670.0,86.0,620.0,50.99019513592785,5.0,0.2809270508208644
645.0,146.0,635.0,96.0,50.99019513592785,5.0,0.2809270508208644
2066.0,745.0,2077.0,801.0,57.0701322935211,5.090909090909091,0.3072153657682201
525.0,662.0,515.0,611.0,51.97114584074513,5.1,0.3098441972629556
1173.0,686.0,1183.0,738.0,52.952809179494906,5.2,0.338761343705047
641.0,704.0,631.0,652.0,52.952809179494906,5.2,0.338761343705047
1496.0,662.0,1506.0,714.0,52.952809179494906,5.2,0.338761343705047
2200.0,353.0,2191.0,306.0,47.853944456021594,5.222222222222222,0.34518737624773393
1336.0,571.0,1346.0,624.0,53.9351462406472,5.3,0.3676784901471382
137.0,707.0,146.0,755.0,48.83646178829912,5.333333333333333,0.3773175389611686
1188.0,1248.0,1198.0,1302.0,54.91812087098393,5.4,0.39659563658922964
2237.0,710.0,2209.0,636.0,79.12016177940993,2.642857142857143,0.4006914010284299
19.0,1103.0,28.0,1152.0,49.8196748283246,5.444444444444445,0.4094477016746035
2121.0,848.0,2132.0,908.0,61.0,5.454545454545454,0.4123686255576428
1462.0,1145.0,1472.0,1200.0,55.90169943749474,5.5,0.4255127830313208
1467.0,1414.0,1457.0,1358.0,56.88585061331157,5.6,0.454429929473412
402.0,1124.0,393.0,1073.0,51.78802950489621,5.666666666666667,0.47370802710147303
2248.0,561.0,2238.0,504.0,57.87054518492115,5.7,0.4833470759155034
591.0,1376.0,582.0,1324.0,52.773099207835045,5.777777777777778,0.5058381898149077
1359.0,1088.0,1381.0,1134.0,50.99019513592785,2.090909090909091,0.5602990274945182
1593.0,939.0,1602.0,993.0,54.74486277268398,6.0,0.5700985152417771
333.0,552.0,341.0,601.0,49.64876634922564,6.125,0.6062449482943912
59.0,1240.0,67.0,1289.0,49.64876634922564,6.125,0.6062449482943912
65.0,837.0,57.0,788.0,49.64876634922564,6.125,0.6062449482943912
1072.0,1650.0,1065.0,1607.0,43.56604182158393,6.142857142857143,0.6114087244447648
78.0,1201.0,86.0,1252.0,51.62363799656123,6.375,0.6785378143996195
1042.0,1391.0,1034.0,1338.0,53.600373133029585,6.625,0.7508306805048477
164.0,1587.0,157.0,1540.0,47.51841748206689,6.714285714285714,0.7766495612567149
297.0,448.0,273.0,419.0,37.64306044943742,1.2083333333333333,0.8155147517750965
1997.0,562.0,2005.0,617.0,55.57877292636101,6.875,0.8231235466100758
101.0,1233.0,108.0,1282.0,49.49747468305833,7.0,0.8592699796626899
2201.0,271.0,2179.0,250.0,30.4138126514911,0.9545454545454546,0.8889029643364644
2008.0,1387.0,2000.0,1330.0,57.55866572463264,7.125,0.895416412715304
2019.0,1220.0,2027.0,1277.0,57.55866572463264,7.125,0.895416412715304
694.0,142.0,708.0,155.0,19.1049731745428,0.9285714285714286,0.8964139114642803
1362.0,937.0,1344.0,925.0,21.633307652783937,0.6666666666666666,0.9721492950030909
120.0,45.0,54.0,5.0,77.17512552629896,0.6060606060606061,0.989674838301328
324.0,96.0,265.0,63.0,67.60177512462228,0.559322033898305,1.0031902996584432
256.0,1012.0,222.0,996.0,37.57658845611187,0.47058823529411764,1.0288495821444463
493.0,167.0,576.0,198.0,88.60022573334675,0.37349397590361444,1.056926471319262
1829.0,1180.0,1836.0,1234.0,54.45181356024793,7.714285714285714,1.0658210256776277
2194.0,240.0,2102.0,222.0,93.74433316206373,0.1956521739130435,1.1083532456361294
1335.0,873.0,1387.0,875.0,52.03844732503075,0.038461538461538464,1.1538082918828951
2149.0,1512.0,2175.0,1512.0,26.0,0.0,1.1649302712836993
522.0,1458.0,528.0,1508.0,50.35871324805669,8.333333333333334,1.2448319322239072
1388.0,1186.0,1313.0,1224.0,84.07734534343957,-0.5066666666666667,1.311443813256962
1719.0,973.0,1738.0,963.0,21.470910553583888,-0.5263157894736842,1.3171257788736535
958.0,1125.0,964.0,1177.0,52.3450093132096,8.666666666666666,1.341222420364211
1478.0,648.0,1547.0,595.0,87.00574693662483,-0.7681159420289855,1.38704748308527
1011.0,1394.0,1017.0,1448.0,54.3323108288245,9.0,1.4376129085045155
1771.0,702.0,1797.0,676.0,36.76955262170047,-1.0,1.454101735704612
888.0,333.0,859.0,369.0,46.22769732530488,-1.2413793103448276,1.523901744357936
1534.0,741.0,1507.0,776.0,44.204072210600685,-1.2962962962962963,1.5397821696071046
490.0,890.0,509.0,864.0,32.202484376209235,-1.368421052631579,1.56063859101758
2184.0,1012.0,2190.0,1069.0,57.3149195236284,9.5,1.5821986407149717
1439.0,565.0,1485.0,495.0,83.7615663654877,-1.5217391304347827,1.6049738040981318
254.0,819.0,281.0,775.0,51.62363799656123,-1.6296296296296295,1.636172657747409
719.0,165.0,705.0,192.0,30.4138126514911,-1.9285714285714286,1.7226180955240311
516.0,763.0,504.0,788.0,27.730849247724095,-2.0833333333333335,1.767370822160601
1879.0,1314.0,1874.0,1262.0,52.23983154643591,10.4,1.8424529586937934
1484.0,176.0,1489.0,229.0,53.23532661682466,10.6,1.9002872515779756
2142.0,1181.0,2147.0,1237.0,56.22277118748239,11.2,2.073790130230523
712.0,27.0,696.0,103.0,77.6659513557904,-4.75,2.5384947272830347
1548.0,776.0,1545.0,793.0,17.26267650163207,-5.666666666666667,2.803568569668872
2261.0,432.0,2257.0,375.0,57.14017850864661,14.25,2.9557630967143074
